Year,tmmn_pos_num,tmmn_neg_num,pr_pos_num,pr_neg_num
1990,3.7017964071856286,0.49221556886227547,2.151377245508982,1.4201197604790419
1991,3.187544910179641,1.0222754491017965,1.5964071856287425,1.5382035928143714
1992,2.6208383233532935,1.548502994011976,1.8179640718562875,1.5755688622754491
1993,2.295808383233533,1.5192814371257486,1.8450299401197605,1.5056287425149701
1994,3.949700598802395,0.7451497005988024,1.7908982035928143,1.4273053892215568
1995,3.2119760479041917,0.832814371257485,1.8761676646706587,1.5425149700598801
1996,2.1662275449101798,1.6797604790419163,1.9161676646706587,1.4946107784431137
1997,2.8004790419161676,1.4553293413173654,1.9875449101796407,1.7089820359281438
1998,5.273053892215569,0.4893413173652695,2.367185628742515,1.4026347305389222
1999,3.4553293413173654,0.7295808383233533,1.8280239520958084,1.4153293413173653
2000,3.282395209580838,0.8488622754491018,1.791377245508982,1.5923353293413174
2001,3.442634730538922,0.777005988023952,1.810059880239521,1.6275449101796406
2002,4.1073053892215565,0.7638323353293414,1.9461077844311376,1.5511377245508982
2003,3.24,0.8031137724550899,1.650059880239521,1.688383233532934
2004,2.5712574850299403,0.5904191616766467,1.835688622754491,1.3552095808383233
2005,3.1635928143712575,0.8711377245508982,1.565748502994012,1.4148502994011976
2006,3.730059880239521,0.7250299401197605,1.9523353293413173,1.5350898203592815
2007,3.5001197604790417,0.6467065868263473,1.9664670658682635,1.5463473053892216
2008,2.268263473053892,1.085508982035928,1.8879041916167665,1.2423952095808384
2009,2.8996407185628743,0.842874251497006,1.9358083832335329,1.4996407185628742
2010,3.842634730538922,1.341317365269461,2.2809580838323353,1.2898203592814372
2011,2.624191616766467,1.161437125748503,1.8596407185628743,1.6584431137724551
2012,3.129580838323353,0.9291017964071856,1.8526946107784432,1.5798802395209581
2013,2.3207185628742515,1.24,1.9705389221556886,1.3106586826347306
2014,3.431616766467066,1.349940119760479,1.991377245508982,1.290059880239521
2015,3.897005988023952,0.7683832335329341,2.0706586826347304,1.6038323353293413
2016,4.201197604790419,0.39281437125748503,1.8416766467065868,1.2021556886227545
2017,3.048862275449102,0.68,1.6476646706586826,1.125508982035928
2018,3.640239520958084,1.0723353293413174,1.7774850299401197,1.2359281437125749
2019,4.393532934131737,0.8383233532934131,1.9334131736526947,1.641437125748503
2020,4.136526946107784,0.9302994011976048,1.9695808383233533,1.802634730538922
2021,3.2364071856287424,1.2217964071856287,1.9518562874251497,1.6440718562874252
2022,3.450059880239521,1.0076646706586827,1.7202395209580839,1.805748502994012
2023,4.490538922155689,0.682874251497006,2.1597604790419163,1.728383233532934
